name,latitude,longitude,pharmacies
Afghanistan,33.93911,67.709953,10131
Albania,41.153332,20.168331,1139
Australia,-25.274398,133.775136,5167
Bosnia and Herzegovina,43.915886,17.679076,340
Bangladesh,23.684994,90.356331,79902
Burundi,-3.373056,29.918886,456
Bhutan,27.514162,90.433601,46
Canada,56.130366,-106.346771,8870
Congo [Republic],-0.228021,15.827659,671
Switzerland,46.818188,8.227512,1742
Cook Islands,-21.236736,-159.777671,3
Chile,-35.675147,-71.542969,2727
Cameroon,7.369722,12.354722,352
China,35.86166,104.195397,74204
Costa Rica,9.748917,-83.753428,1199
Czech Republic,49.817492,15.472962,2530
Germany,51.165691,10.451526,21860
Denmark,56.26392,9.501785,228
Egypt,26.820553,30.802498,55000
Spain,40.463667,-3.74922,21364
Ethiopia,9.145,40.489673,667
Finland,61.92411,25.748151,812
Fiji,-16.578193,179.414413,82
France,46.227638,2.213749,25426
United Kingdom,55.378051,-3.435973,13264
Grenada,12.262776,-61.604171,65
Ghana,7.946527,-1.023194,2179
Guinea,9.945587,-9.696645,895
Hong Kong,22.396428,114.109497,518
Croatia,45.1,15.2,1127
Hungary,47.162494,19.503304,3400
Ireland,53.41291,-8.24389,1757
Israel,31.046051,34.851612,2800
India,20.593684,78.96288,750000
Iran,32.427908,53.688046,14000
Iceland,64.963051,-19.020835,64
Italy,41.87194,12.56738,17400
Jordan,30.585164,36.238414,2328
Japan,36.204824,138.252924,71970
Cambodia,12.565679,104.990963,1556
South Korea,35.907757,127.766922,20320
Lithuania,55.169438,23.881275,1500
Moldova,47.411631,28.369885,1933
Marshall Islands,7.131474,171.184478,3
Macedonia [FYROM],41.608635,21.745275,874
Mali,17.570692,-3.996166,427
Malta,35.937496,14.375416,217
Mauritius,-20.348404,57.552152,275
Malawi,-13.254308,34.301525,28
Mexico,23.634501,-102.552784,41890
Malaysia,4.210484,101.975766,2330
Nigeria,9.081999,8.675277,9469
Netherlands,52.132633,5.291266,2007
Norway,60.472024,8.468946,692
Nepal,28.394857,84.124008,4000
Nauru,-0.522778,166.931503,1
Niue,-19.054445,-169.867233,1
New Zealand,-40.900557,174.885971,840
Papua New Guinea,-6.314993,143.95555,82
Philippines,12.879721,121.774017,8600
Pakistan,30.375321,69.345116,80000
Portugal,39.399872,-8.224454,3365
Palau,7.51498,134.58252,4
Romania,45.943161,24.96676,6686
Saudi Arabia,23.885942,45.079162,6147
Singapore,1.352083,103.819836,242
Senegal,14.497401,-14.452362,1060
Somalia,5.152149,46.199616,1550
Togo,8.619543,0.824782,164
Thailand,15.870032,100.992541,11592
Tonga,-21.178986,-175.198242,19
Turkey,38.963745,35.243322,25118
Tuvalu,-7.109535,177.64933,1
Taiwan,23.69781,120.960515,15345
Tanzania,-6.369028,34.888822,855
Ukraine,48.379433,31.16558,22555
Uganda,1.373333,32.290275,600
United States,37.09024,-95.712891,67000
Uruguay,-32.522779,-55.765835,1194
Vietnam,14.058324,108.277199,43629
Vanuatu,-15.376706,166.959158,14
Samoa,-13.759029,-172.104629,5
South Africa,-30.559482,22.937506,4304
Zambia,-13.133897,27.849332,5000
Zimbabwe,-19.015438,29.154857,633
